language_id,glottocode,glottolog_name,polygon_file,polygon_name,fuzzy_score,polygon_group
Yindjibarndi,yind1247,Yindjibarndi,AustralianPolygons.kml,Yindjibarndi,100,
Yindjilandji,yind1248,Yindjilandji,AustralianPolygons.kml,Yindjilandji,100,
Yingkarta,ying1247,Yinggarda,AustralianPolygons.kml,Yingkarta,100,
Yinhawangka,pany1241,Panytyima,AustralianPolygons.kml,Yinhawangka,100,
Yiningay,bidy1243,Bidyara,AustralianPolygons.kml,Yiningayi,94,
Yinwum,yinw1236,Yinwum,AustralianPolygons.kml,Yinwum,100,
YirYoront,yiry1245,Yir-Yoront,AustralianPolygons.kml,Yir Yoront,95,
Yirandali,yira1239,Yirandhali,AustralianPolygons.kml,Yirandhali,95,
YithaYitha,yith1234,Yitha Yitha,AustralianPolygons.kml,YithaYitha,100,
YortaYorta,yort1237,Yorta Yorta,AustralianPolygons.kml,YortaYorta,100,
Yugambeh,yugu1249,Yugumbir,,,(67 for Unggumi),
Yugarabul,yaga1256,Yagara-Jandai,,,(63 for Yagara),
Yulparija,yulp1238,Yulparitja,AustralianPolygons.kml,Yulparija,100,
Yuwaalaraay,gami1243,Yuwaalaraay-Gamilaraay,AustralianPolygons.kml,Yuwaalaraay,100,
Zorc,dhuw1249,Dhuwal,AustralianPolygons.kml,Dhuwal,100,
